nowRank,nowCountry,nowTotalCases,nowNewCases,nowTotalDeaths,nowNewDeaths,nowTotalRecovered,nowNewRecovered,nowActiveCases,nowSeriousCritical,nowCasesPerMillion,nowDeathsPerMillion,nowTotalTests,nowTestsPerMillion,nowPopulation
163,New Zealand,26935,1885,53,None,16470,207,10412,None,5385,11,6428083,1285077,5002100
164,Benin,26567,None,163,None,25506,None,898,5,2102,13,604310,47811,12639475
165,Somalia,26260,None,1345,None,13182,None,11733,None,1581,81,400466,24104,16614055
166,Congo,23874,None,375,None,20178,None,3321,None,4160,65,347815,60606,5738940
167,Saint Lucia,22426,None,354,1,20946,None,1126,1,121226,1914,132497,716227,184993
168,Timor-Leste,22261,123,125,None,20620,247,1516,16,16377,92,245053,180280,1359294
169,Isle of Man,22257,None,77,None,21948,None,232,None,259511,898,150753,1757745,85765
170,Burkina Faso,20743,None,375,None,20309,None,59,None,950,17,248315,11372,21835113
171,Taiwan,19864,67,852,None,17829,48,1183,None,832,36,11230873,470168,23886957
172,Cayman Islands,18728,None,17,None,8553,None,10158,2,279614,254,222773,3326062,66978
173,Nicaragua,17895,None,219,None,4225,None,13451,None,2650,32,None,None,6752823
174,Tajikistan,17385,None,124,None,17249,None,12,None,1759,13,None,None,9886035
175,South Sudan,16903,None,137,None,13077,None,3689,1,1482,12,330958,29013,11407309
176,Equatorial Guinea,15870,None,182,None,15620,None,68,5,10738,123,273437,185018,1477891
177,Djibouti,15537,2,189,None,15340,3,8,None,15362,187,281402,278236,1011379
178,Gibraltar,14873,67,101,None,13993,166,779,16,441663,2999,507804,15079555,33675
179,CAR,14187,None,113,None,6859,None,7215,2,2857,23,81294,16369,4966382
180,San Marino,13988,None,110,None,13226,None,652,4,410844,3231,132336,3886862,34047
181,Grenada,13452,None,214,None,12815,None,423,5,118654,1888,133522,1177733,113372
182,Gambia,11924,None,365,None,11461,None,98,4,4719,144,135608,53663,2527038
183,Yemen,11731,13,2115,1,8555,10,1061,23,380,68,265253,8586,30894305
184,Greenland,11547,None,10,None,2761,None,8776,8,202828,176,164926,2896996,56930
185,Bermuda,11316,None,122,None,10983,None,211,None,182802,1971,781089,12617951,61903
186,Liechtenstein,11036,125,75,None,10542,79,419,8,288101,1958,80413,2099227,38306
187,Dominica,10752,None,57,None,9915,None,780,None,148761,789,161409,2233200,72277
188,Saint Martin,9827,None,63,None,1399,None,8365,7,247289,1585,78366,1972017,39739
189,Eritrea,9683,2,103,None,9550,6,30,None,2670,28,23693,6534,3626293
190,Sint Maarten,9511,None,84,None,9308,None,119,10,217803,1924,62056,1421086,43668
191,Bhutan,9210,527,5,None,6088,158,3117,None,11726,6,1898426,2417035,785436
192,Monaco,9162,34,51,2,8923,20,188,4,230810,1285,54960,1384557,39695
193,Niger,8728,None,303,None,8399,None,26,1,341,12,224075,8743,25630321
194,Comoros,8014,2,160,None,7777,52,77,None,8907,178,None,None,899729
195,Guinea-Bissau,7891,None,164,None,6921,None,806,6,3861,80,121934,59665,2043640
196,Sierra Leone,7661,None,125,None,N/A,None,None,None,930,15,259958,31545,8240839
197,Caribbean Netherlands,7472,None,31,None,7315,None,126,None,280691,1165,30126,1131705,26620
198,Antigua and Barbuda,7395,None,135,None,7180,None,80,1,74510,1360,18901,190440,99249
199,Liberia,7360,None,290,None,5747,None,1323,2,1402,55,139824,26628,5250992
200,Chad,7214,None,190,None,4874,None,2150,None,420,11,191341,11130,17192060
201,St. Vincent Grenadines,6729,2,104,1,6549,15,76,17,60342,933,97722,876320,111514
202,British Virgin Islands,6050,53,62,None,N/A,None,None,6,197978,2029,99936,3270264,30559
203,Sao Tome and Principe,5924,2,71,None,5843,2,10,None,26238,314,29036,128604,225779
204,Turks and Caicos,5839,None,36,None,5759,None,44,4,147565,910,419792,10609113,39569
205,Solomon Islands,5565,None,74,None,1216,None,4275,1,7791,104,5117,7164,714274
206,Saint Kitts and Nevis,5511,None,40,None,5445,None,26,1,102412,743,65141,1210529,53812
207,St. Barth,3735,None,6,None,N/A,None,None,None,376285,604,56491,5691215,9926
208,Palau,3463,38,5,None,2485,107,973,15,189920,274,34614,1898322,18234
209,Kiribati,2810,53,9,None,715,None,2086,None,22952,74,None,None,122431
210,Anguilla,2506,None,9,None,2476,None,21,4,164641,591,51382,3375731,15221
211,Saint Pierre Miquelon,1047,None,1,None,1013,None,33,1,182150,174,17358,3019833,5748
