rank2Days,country2Days,totalCases2Days,newCases2Days,totalDeaths2Days,newDeaths2Days,totalRecovered2Days,newRecovered2Days,activeCases2Days,seriousCritical2Days,casesPerMillion2Days,deathsPerMillion2Days,totalTests2Days,testsPerMillion2Days,population2Days
198,Caribbean Netherlands,11474,48,36,None,10476,None,962,None,430593,1351,30126,1130559,26647
199,Sint Maarten,10964,None,89,None,10873,None,2,None,249375,2024,62056,1411454,43966
200,Eritrea,10189,None,103,None,10086,None,0,None,2782,28,23693,6470,3662244
201,Niger,9931,None,312,None,8890,None,729,1,381,12,254538,9759,26083660
202,St. Vincent Grenadines,9500,18,116,None,9361,6,23,None,85163,1040,112841,1011564,111551
203,Antigua and Barbuda,9106,None,146,None,8954,None,6,1,91509,1467,18901,189943,99509
204,Comoros,8977,None,161,None,8799,None,17,None,9893,177,None,None,907419
205,Guinea-Bissau,8848,None,176,None,8642,None,30,6,4288,85,145231,70385,2063367
206,Liberia,8037,2,294,None,7720,None,23,2,1515,55,139824,26356,5305117
207,Sierra Leone,7760,None,126,None,None,None,None,None,934,15,259958,31296,8306436
208,Chad,7648,1,194,None,4874,None,2580,None,439,11,191341,10988,17413580
209,British Virgin Islands,7305,None,64,None,None,None,None,None,238757,2092,107339,3508269,30596
210,Saint Kitts and Nevis,6552,None,46,None,6482,None,24,None,121624,854,124861,2317778,53871
211,Turks and Caicos,6446,None,36,None,6392,None,18,4,162200,906,550241,13845676,39741
212,Cook Islands,6389,None,1,None,6384,None,4,None,363610,57,19690,1120596,17571
213,Sao Tome and Principe,6279,None,77,None,6202,1,0,None,27578,338,29036,127530,227679
214,Palau,5933,37,9,2,5747,48,177,1,325399,494,68050,3732244,18233
215,St. Barth,5348,None,6,None,None,None,None,None,537758,603,78646,7908095,9945
216,Nauru,4621,None,1,None,4609,None,11,None,423828,92,20509,1881042,10903
217,Anguilla,3904,None,12,None,3879,None,13,4,256336,788,51382,3373736,15230
218,Kiribati,3430,None,13,None,2703,None,714,3,27792,105,None,None,123419
219,Saint Pierre Miquelon,3306,None,2,None,2449,None,855,1,574058,347,25300,4393124,5759
220,Tuvalu,2805,None,None,None,None,None,2805,None,232471,None,None,None,12066
221,Falkland Islands,1930,None,None,None,1930,None,0,None,545352,None,8632,2439107,3539
222,Saint Helena,1806,None,None,None,2,None,1804,None,295339,None,None,None,6115
223,Montserrat,1403,None,8,None,1376,None,19,None,282578,1611,17762,3577442,4965
224,Macao,1040,84,6,None,801,4,233,None,1558,9,7850,11760,667490
225,Wallis and Futuna,761,None,7,None,438,None,316,None,69295,637,20508,1867419,10982
226,None,712,None,13,None,699,None,0,None,None,None,None,None,None
227,Niue,198,7,None,None,162,10,36,None,122072,None,None,None,1622
228,Vatican City,29,None,None,None,29,None,0,None,36295,None,None,None,799
229,Western Sahara,10,None,1,None,9,None,0,None,16,2,None,None,626161
230,None,9,None,2,None,7,None,0,None,None,None,None,None,None
